EventType;Timestamp;DeviceID;User  ID;Details;Value;fl_work;work_time_per
ВнесениеНаличных;01.10.2023 11:00;Банкомат47;Пользователь35;Пользователь Пользователь35 внес 123 рублей в Банкомат47;123;0;75
ОшибкаПриемаКупюр;01.10.2023 11:05;Банкомат36;Пользователь41;Ошибка приема купюр в Банкомат36;Купюра повреждена;1;84
ПроверкаКассеты;01.10.2023 11:05;Банкомат43;Пользователь30;Проверка состояния кассеты в Банкомат43;Хорошее;1;78
Предупреждение;01.10.2023 11:06;Банкомат33;Пользователь34;Предупреждение в Банкомат33;Низкий уровень наличных;1;65
ЗажеваннаяКупюра;01.10.2023 11:09;Банкомат16;Пользователь52;Купюра зажевана в Банкомат16;500;1;73
ВходПользователя;01.10.2023 11:11;Банкомат3;Пользователь72;Пользователь Пользователь72 вошел в систему в Банкомат3;;1;98
ЗаменаКассеты;01.10.2023 11:11;Банкомат39;Пользователь55;Кассета заменена в Банкомат39;1153;1;63
ОшибкаКарт;01.10.2023 11:13;Банкомат89;Пользователь44;Ошибка при считывании карты в Банкомат89;Карта повреждена;0;91
ОшибкаВыдачиНаличности;01.10.2023 11:15;Банкомат44;Пользователь87;Ошибка выдачи наличности в Банкомат44;Купюры отсутствуют;0;98
ВосстановлениеСвязи;01.10.2023 11:20;Банкомат83;Пользователь63;Связь восстановлена в Банкомат83;;1;80
ОжиданиеПользователя;01.10.2023 11:20;Банкомат60;Пользователь72;Ожидание действия от пользователя в Банкомат60;;0;76
ОшибкаТехническая;01.10.2023 11:24;Банкомат61;Пользователь35;Техническая ошибка в Банкомат61;Ошибка питания;0;58
ПерезагрузкаУстройства;01.10.2023 11:26;Банкомат37;Пользователь32;Устройство Банкомат37 перезагружено;;1;52
ПроверкаСостоянияСвязи;01.10.2023 11:29;Банкомат72;Пользователь98;Проверка состояния связи в Банкомат72;Хорошее;1;94
СостояниеКартриджа;01.10.2023 11:29;Банкомат30;Пользователь46;Состояние картриджа проверено в Банкомат30;Полный;1;62
ВнесениеНаличных;01.10.2023 11:33;Банкомат56;Пользователь72;Пользователь Пользователь72 внес 727 рублей в Банкомат56;727;0;59
СостояниеПриемаКупюр;01.10.2023 11:35;Банкомат57;Пользователь91;Состояние устройства приема купюр в Банкомат57 проверено;Работает;0;60
ОшибкаКарт;01.10.2023 11:38;Банкомат35;Пользователь66;Ошибка при считывании карты в Банкомат35;Карта повреждена;0;58
ОшибкаЖесткогоДиска;01.10.2023 11:39;Банкомат35;Пользователь69;Ошибка жесткого диска в Банкомат35;Ошибка чтения;0;59
ЗавершениеТранзакции;01.10.2023 11:40;Банкомат66;Пользователь83;Транзакция завершена в Банкомат66;Не удалось;1;100
ПроверкаКассеты;01.10.2023 11:45;Банкомат14;Пользователь8;Проверка состояния кассеты в Банкомат14;Хорошее;1;51
ПерезагрузкаУстройства;01.10.2023 11:47;Банкомат72;Пользователь82;Устройство Банкомат72 перезагружено;;1;76
Предупреждение;01.10.2023 11:48;Банкомат68;Пользователь24;Предупреждение в Банкомат68;Ошибка связи;0;93
ОтказВОбслуживании;01.10.2023 11:49;Банкомат79;Пользователь40;Отказ в обслуживании в Банкомат79;Техническая ошибка;1;81
ОжиданиеПользователя;01.10.2023 11:50;Банкомат23;Пользователь24;Ожидание действия от пользователя в Банкомат23;;0;86
ПроверкаСостоянияСвязи;01.10.2023 11:53;Банкомат7;Пользователь19;Проверка состояния связи в Банкомат7;Плохое;0;60
УстановкаОбновлений;01.10.2023 11:56;Банкомат20;Пользователь63;Установка обновлений в Банкомат20;Успешно;0;84
ПроверкаСостоянияКарт;01.10.2023 11:58;Банкомат77;Пользователь71;Проверка состояния карт в Банкомат77;Некоторые карты повреждены;0;54
ПроверкаОбновлений;01.10.2023 12:00;Банкомат79;Пользователь41;Проверка обновлений в Банкомат79;Обновления отсутствуют;1;61
ВходПользователя;01.10.2023 12:05;Банкомат22;Пользователь97;Пользователь Пользователь97 вошел в систему в Банкомат22;;1;100
ЗаменаКассеты;01.10.2023 12:09;Банкомат4;Пользователь70;Кассета заменена в Банкомат4;1215;1;51
СигнализацияОшибки;01.10.2023 12:13;Банкомат95;Пользователь23;Сигнализация ошибки в Банкомат95;Ошибка механизма;1;58
СостояниеКартриджа;01.10.2023 12:18;Банкомат97;Пользователь5;Состояние картриджа проверено в Банкомат97;Пустой;0;81
ОшибкаТехническая;01.10.2023 12:18;Банкомат54;Пользователь81;Техническая ошибка в Банкомат54;Ошибка питания;1;100
АварийноеВыключение;01.10.2023 12:19;Банкомат4;Пользователь59;Аварийное отключение устройства Банкомат4;Устройство отключено;0;88
ПроверкаЖесткогоДиска;01.10.2023 12:23;Банкомат6;Пользователь84;Проверка жесткого диска в Банкомат6;21;1;75
ПроверкаСистемныхЛогов;01.10.2023 12:24;Банкомат64;Пользователь88;Проверка системных логов в Банкомат64;Найдены ошибки;1;50
ОшибкаОбновления;01.10.2023 12:24;Банкомат55;Пользователь83;Ошибка обновления в Банкомат55;Ошибка совместимости;0;52
ОшибкаЖесткогоДиска;01.10.2023 12:27;Банкомат26;Пользователь82;Ошибка жесткого диска в Банкомат26;Нет свободного места;1;62
ОшибкаТехническая;01.10.2023 12:29;Банкомат56;Пользователь37;Техническая ошибка в Банкомат56;Ошибка питания;1;100
ОшибкаПечати;01.10.2023 12:30;Банкомат40;Пользователь23;Ошибка печати в Банкомат40;Нет бумаги;1;86
ОшибкаОбновления;01.10.2023 12:32;Банкомат46;Пользователь51;Ошибка обновления в Банкомат46;Ошибка совместимости;1;78
ОшибкаТехническая;01.10.2023 12:36;Банкомат82;Пользователь74;Техническая ошибка в Банкомат82;Ошибка связи;1;61
ОбслуживаниеТребуется;01.10.2023 12:41;Банкомат61;Пользователь75;Требуется обслуживание Банкомат61;Профилактическое;0;79
ОжиданиеПользователя;01.10.2023 12:45;Банкомат68;Пользователь83;Ожидание действия от пользователя в Банкомат68;;0;87
ОшибкаСинхронизацииДанных;01.10.2023 12:49;Банкомат73;Пользователь85;Ошибка синхронизации данных в Банкомат73;Проблема с сетью;1;73
ОшибкаОбновления;01.10.2023 12:53;Банкомат98;Пользователь61;Ошибка обновления в Банкомат98;Ошибка совместимости;0;72
ТестированиеУстройства;01.10.2023 12:53;Банкомат80;Пользователь15;Тестирование устройства Банкомат80 завершено;Успешно;1;71
ТестированиеСистемы;01.10.2023 12:54;Банкомат31;Пользователь18;Тестирование системы в Банкомат31;Все системы работают;0;71
СостояниеКартриджа;01.10.2023 12:57;Банкомат13;Пользователь44;Состояние картриджа проверено в Банкомат13;Пустой;1;86
ПроверкаСостоянияПечати;01.10.2023 13:00;Банкомат74;Пользователь60;Проверка состояния печати в Банкомат74;Принтер не работает;0;55
ПроверкаСостоянияКлавиатуры;01.10.2023 13:05;Банкомат31;Пользователь6;Проверка состояния клавиатуры в Банкомат31;Клавиатура работает;1;75
ЗавершениеТранзакции;01.10.2023 13:07;Банкомат85;Пользователь62;Транзакция завершена в Банкомат85;Не удалось;0;82
ОшибкаКарт;01.10.2023 13:10;Банкомат59;Пользователь47;Ошибка при считывании карты в Банкомат59;Карта повреждена;1;73
ОшибкаОбновления;01.10.2023 13:14;Банкомат16;Пользователь32;Ошибка обновления в Банкомат16;Ошибка совместимости;1;73
СбросНастроек;01.10.2023 13:18;Банкомат91;Пользователь23;Сброс настроек в Банкомат91;Настройки сброшены;1;66
ОжиданиеПользователя;01.10.2023 13:19;Банкомат11;Пользователь5;Ожидание действия от пользователя в Банкомат11;;1;57
ЗаменаКассеты;01.10.2023 13:24;Банкомат1;Пользователь11;Кассета заменена в Банкомат1;1222;0;87
Предупреждение;01.10.2023 13:26;Банкомат86;Пользователь23;Предупреждение в Банкомат86;Низкий уровень наличных;1;78
ОшибкаСети;01.10.2023 13:30;Банкомат30;Пользователь83;Ошибка сети в Банкомат30;Потеря пакетов;0;82
ЗаменаКартриджа;01.10.2023 13:33;Банкомат54;Пользователь11;Замена картриджа в Банкомат54;Успешно;1;80
ТестированиеСистемы;01.10.2023 13:34;Банкомат82;Пользователь83;Тестирование системы в Банкомат82;Все системы работают;0;69
СбросНастроек;01.10.2023 13:36;Банкомат97;Пользователь60;Сброс настроек в Банкомат97;Настройки сброшены;0;61
ОтказВОбслуживании;01.10.2023 13:37;Банкомат17;Пользователь87;Отказ в обслуживании в Банкомат17;Техническая ошибка;0;67
ОшибкаСети;01.10.2023 13:42;Банкомат87;Пользователь63;Ошибка сети в Банкомат87;Потеря пакетов;1;94
ВосстановлениеСвязи;01.10.2023 13:43;Банкомат56;Пользователь51;Связь восстановлена в Банкомат56;;1;57
ПроверкаБаланс;01.10.2023 13:44;Банкомат63;Пользователь99;Проверка баланса пользователем Пользователь99 в Банкомат63;159;0;79
ОбслуживаниеТребуется;01.10.2023 13:44;Банкомат65;Пользователь22;Требуется обслуживание Банкомат65;Техническое;1;69
ОшибкаПечати;01.10.2023 13:44;Банкомат1;Пользователь90;Ошибка печати в Банкомат1;Ошибка механизма;0;81
СостояниеУстройстваИзменено;01.10.2023 13:48;Банкомат52;Пользователь56;Состояние устройства Банкомат52 изменилось;Закрыто;1;89
ПроверкаСостоянияКлавиатуры;01.10.2023 13:49;Банкомат33;Пользователь96;Проверка состояния клавиатуры в Банкомат33;Клавиатура работает;1;98
ПроблемаСоСвязью;01.10.2023 13:53;Банкомат32;Пользователь60;Проблема со связью в Банкомат32;Потеря соединения;0;80
ОшибкаСети;01.10.2023 13:55;Банкомат62;Пользователь62;Ошибка сети в Банкомат62;Потеря пакетов;1;92
ПроверкаСистемныхЛогов;01.10.2023 13:56;Банкомат40;Пользователь55;Проверка системных логов в Банкомат40;Найдены ошибки;0;70
ОшибкаТехническая;01.10.2023 14:01;Банкомат24;Пользователь94;Техническая ошибка в Банкомат24;Ошибка связи;1;100
ОшибкаОбновления;01.10.2023 14:04;Банкомат22;Пользователь35;Ошибка обновления в Банкомат22;Ошибка совместимости;1;69
ОшибкаОбновления;01.10.2023 14:09;Банкомат70;Пользователь90;Ошибка обновления в Банкомат70;Ошибка сети;1;55
ОшибкаКарт;01.10.2023 14:14;Банкомат18;Пользователь66;Ошибка при считывании карты в Банкомат18;Карта не распознана;0;81
СостояниеКартриджа;01.10.2023 14:15;Банкомат63;Пользователь60;Состояние картриджа проверено в Банкомат63;Пустой;0;59
ЗавершениеТранзакции;01.10.2023 14:17;Банкомат30;Пользователь31;Транзакция завершена в Банкомат30;Успешно;1;88
АварийноеВыключение;01.10.2023 14:17;Банкомат16;Пользователь3;Аварийное отключение устройства Банкомат16;Устройство отключено;0;65
ОшибкаСети;01.10.2023 14:22;Банкомат47;Пользователь50;Ошибка сети в Банкомат47;Нет соединения;0;89
ОбработкаЗапроса;01.10.2023 14:24;Банкомат50;Пользователь67;Обработка запроса пользователя Пользователь67 в Банкомат50;;0;77
ЗагрузкаПроцессораВысокая;01.10.2023 14:26;Банкомат64;Пользователь3;Высокая загрузка процессора в Банкомат64;93;1;83
ПроверкаСостоянияПечати;01.10.2023 14:29;Банкомат95;Пользователь37;Проверка состояния печати в Банкомат95;Принтер не работает;1;88
ОбновлениеПрограммногоОбеспечения;01.10.2023 14:30;Банкомат34;Пользователь9;Обновление ПО в Банкомат34;Успешно;1;54
ВыходПользователя;01.10.2023 14:32;Банкомат3;Пользователь32;Пользователь Пользователь32 вышел из системы в Банкомат3;;0;58
ПроблемаСоСвязью;01.10.2023 14:34;Банкомат96;Пользователь83;Проблема со связью в Банкомат96;Потеря соединения;1;91
ЗажеваннаяКупюра;01.10.2023 14:36;Банкомат19;Пользователь80;Купюра зажевана в Банкомат19;100;0;74
ПроверкаКассеты;01.10.2023 14:37;Банкомат2;Пользователь29;Проверка состояния кассеты в Банкомат2;Нуждается в замене;0;95
ОбновлениеБезопасности;01.10.2023 14:39;Банкомат1;Пользователь13;Обновление систем безопасности в Банкомат1;Успешно;0;60
СигнализацияОшибки;01.10.2023 14:40;Банкомат77;Пользователь29;Сигнализация ошибки в Банкомат77;Ошибка механизма;0;61
СостояниеПриемаКупюр;01.10.2023 14:40;Банкомат55;Пользователь84;Состояние устройства приема купюр в Банкомат55 проверено;Не работает;0;100
ПроверкаСистемныхЛогов;01.10.2023 14:41;Банкомат79;Пользователь77;Проверка системных логов в Банкомат79;Ошибок не найдено;1;96
ВнесениеНаличных;01.10.2023 14:43;Банкомат8;Пользователь38;Пользователь Пользователь38 внес 138 рублей в Банкомат8;138;1;99
ОбновлениеБезопасности;01.10.2023 14:48;Банкомат30;Пользователь16;Обновление систем безопасности в Банкомат30;Не удалось;1;75
ОбновлениеПрограммногоОбеспечения;01.10.2023 14:49;Банкомат8;Пользователь16;Обновление ПО в Банкомат8;Успешно;0;94
ОшибкаЖесткогоДиска;01.10.2023 14:53;Банкомат84;Пользователь49;Ошибка жесткого диска в Банкомат84;Ошибка чтения;1;50
СостояниеУстройстваИзменено;01.10.2023 14:57;Банкомат66;Пользователь58;Состояние устройства Банкомат66 изменилось;Закрыто;1;65
ЗажеваннаяКупюра;01.10.2023 14:59;Банкомат36;Пользователь70;Купюра зажевана в Банкомат36;500;0;58
ОшибкаСети;01.10.2023 15:00;Банкомат31;Пользователь7;Ошибка сети в Банкомат31;Нет соединения;0;65
АварийноеВыключение;01.10.2023 15:03;Банкомат82;Пользователь93;Аварийное отключение устройства Банкомат82;Устройство отключено;1;85
ЗаполнениеКассеты;01.10.2023 15:06;Банкомат21;Пользователь17;Кассета заполнена в Банкомат21;1689;0;51
ЗавершениеТранзакции;01.10.2023 15:10;Банкомат35;Пользователь97;Транзакция завершена в Банкомат35;Успешно;0;67
СостояниеКартриджа;01.10.2023 15:13;Банкомат45;Пользователь51;Состояние картриджа проверено в Банкомат45;Полный;0;52
СбросНастроек;01.10.2023 15:16;Банкомат14;Пользователь85;Сброс настроек в Банкомат14;Настройки сброшены;1;79
ПроверкаЭнергоснабжения;01.10.2023 15:21;Банкомат88;Пользователь10;Проверка состояния энергоснабжения в Банкомат88;Проблемы с энергоснабжением;0;85
АварийноеВыключение;01.10.2023 15:22;Банкомат20;Пользователь32;Аварийное отключение устройства Банкомат20;Устройство отключено;0;86
СостояниеПриемаКупюр;01.10.2023 15:25;Банкомат10;Пользователь15;Состояние устройства приема купюр в Банкомат10 проверено;Работает;1;54
ПроверкаЖесткогоДиска;01.10.2023 15:28;Банкомат55;Пользователь71;Проверка жесткого диска в Банкомат55;42;1;94
ПроверкаСостоянияКарт;01.10.2023 15:31;Банкомат2;Пользователь81;Проверка состояния карт в Банкомат2;Некоторые карты повреждены;1;71
ЗавершениеТранзакции;01.10.2023 15:36;Банкомат51;Пользователь40;Транзакция завершена в Банкомат51;Успешно;0;98
ПроверкаСистемныхЛогов;01.10.2023 15:38;Банкомат81;Пользователь96;Проверка системных логов в Банкомат81;Ошибок не найдено;1;89
СостояниеПриемаКупюр;01.10.2023 15:42;Банкомат18;Пользователь99;Состояние устройства приема купюр в Банкомат18 проверено;Не работает;1;54
ОшибкаТехническая;01.10.2023 15:47;Банкомат69;Пользователь21;Техническая ошибка в Банкомат69;Ошибка питания;1;52
ВосстановлениеСвязи;01.10.2023 15:49;Банкомат32;Пользователь30;Связь восстановлена в Банкомат32;;0;92
СостояниеУстройстваИзменено;01.10.2023 15:53;Банкомат80;Пользователь12;Состояние устройства Банкомат80 изменилось;Закрыто;1;93
ОшибкаПриемаКупюр;01.10.2023 15:55;Банкомат17;Пользователь83;Ошибка приема купюр в Банкомат17;Купюра зажевана;0;73
ОшибкаОбновления;01.10.2023 16:00;Банкомат72;Пользователь54;Ошибка обновления в Банкомат72;Ошибка совместимости;1;59
СостояниеКартриджа;01.10.2023 16:01;Банкомат72;Пользователь87;Состояние картриджа проверено в Банкомат72;Полный;1;64
УстановкаОбновлений;01.10.2023 16:03;Банкомат100;Пользователь26;Установка обновлений в Банкомат100;Не удалось;0;66
ОтказВОбслуживании;01.10.2023 16:04;Банкомат49;Пользователь68;Отказ в обслуживании в Банкомат49;Техническая ошибка;1;88
ВходПользователя;01.10.2023 16:05;Банкомат47;Пользователь86;Пользователь Пользователь86 вошел в систему в Банкомат47;;0;58
СостояниеПриемаКупюр;01.10.2023 16:08;Банкомат11;Пользователь47;Состояние устройства приема купюр в Банкомат11 проверено;Не работает;0;90
ЗагрузкаПроцессораВысокая;01.10.2023 16:12;Банкомат90;Пользователь67;Высокая загрузка процессора в Банкомат90;93;1;50
ВыходПользователя;01.10.2023 16:14;Банкомат7;Пользователь67;Пользователь Пользователь67 вышел из системы в Банкомат7;;1;98
ОшибкаЖесткогоДиска;01.10.2023 16:15;Банкомат76;Пользователь69;Ошибка жесткого диска в Банкомат76;Нет свободного места;1;63
ОшибкаТехническая;01.10.2023 16:18;Банкомат40;Пользователь26;Техническая ошибка в Банкомат40;Ошибка питания;0;83
ПроверкаБаланс;01.10.2023 16:19;Банкомат13;Пользователь58;Проверка баланса пользователем Пользователь58 в Банкомат13;3979;1;73
ОбновлениеБезопасности;01.10.2023 16:21;Банкомат44;Пользователь41;Обновление систем безопасности в Банкомат44;Не удалось;0;73
ПроверкаОбновлений;01.10.2023 16:25;Банкомат19;Пользователь16;Проверка обновлений в Банкомат19;Обновления отсутствуют;0;70
ОшибкаКарт;01.10.2023 16:28;Банкомат43;Пользователь1;Ошибка при считывании карты в Банкомат43;Карта не распознана;1;84
ОбработкаЗапроса;01.10.2023 16:31;Банкомат62;Пользователь6;Обработка запроса пользователя Пользователь6 в Банкомат62;;0;78
ОшибкаЖесткогоДиска;01.10.2023 16:36;Банкомат85;Пользователь41;Ошибка жесткого диска в Банкомат85;Ошибка чтения;0;55
ОшибкаСинхронизацииДанных;01.10.2023 16:38;Банкомат84;Пользователь62;Ошибка синхронизации данных в Банкомат84;Проблема с сетью;0;54
ЗаменаКассеты;01.10.2023 16:41;Банкомат43;Пользователь42;Кассета заменена в Банкомат43;1178;1;83
ПроверкаЭнергоснабжения;01.10.2023 16:45;Банкомат95;Пользователь19;Проверка состояния энергоснабжения в Банкомат95;Проблемы с энергоснабжением;1;81
ПроверкаСостоянияСвязи;01.10.2023 16:47;Банкомат66;Пользователь9;Проверка состояния связи в Банкомат66;Плохое;1;57
ОтказВОбслуживании;01.10.2023 16:52;Банкомат83;Пользователь59;Отказ в обслуживании в Банкомат83;Техническая ошибка;0;85
СостояниеУстройстваИзменено;01.10.2023 16:56;Банкомат1;Пользователь6;Состояние устройства Банкомат1 изменилось;Закрыто;0;96
ЗаменаКассеты;01.10.2023 16:59;Банкомат3;Пользователь87;Кассета заменена в Банкомат3;1176;1;64
ЗажеваннаяКупюра;01.10.2023 16:59;Банкомат54;Пользователь74;Купюра зажевана в Банкомат54;100;1;63
ПроверкаСостоянияСвязи;01.10.2023 17:00;Банкомат65;Пользователь15;Проверка состояния связи в Банкомат65;Плохое;0;94
ПроблемаСоСвязью;01.10.2023 17:01;Банкомат90;Пользователь90;Проблема со связью в Банкомат90;Потеря соединения;0;92
ПроверкаЖесткогоДиска;01.10.2023 17:02;Банкомат30;Пользователь28;Проверка жесткого диска в Банкомат30;58;1;77
ОбновлениеБезопасности;01.10.2023 17:03;Банкомат96;Пользователь60;Обновление систем безопасности в Банкомат96;Не удалось;1;89
ТестированиеСистемы;01.10.2023 17:08;Банкомат16;Пользователь59;Тестирование системы в Банкомат16;Некоторые системы не работают;0;59
ПроверкаКассеты;01.10.2023 17:09;Банкомат38;Пользователь46;Проверка состояния кассеты в Банкомат38;Хорошее;0;87
СбросНастроек;01.10.2023 17:12;Банкомат56;Пользователь4;Сброс настроек в Банкомат56;Настройки сброшены;0;82
ОбновлениеБезопасности;01.10.2023 17:12;Банкомат59;Пользователь6;Обновление систем безопасности в Банкомат59;Успешно;0;85
ВходПользователя;01.10.2023 17:15;Банкомат72;Пользователь80;Пользователь Пользователь80 вошел в систему в Банкомат72;;1;62
УстановкаОбновлений;01.10.2023 17:18;Банкомат68;Пользователь81;Установка обновлений в Банкомат68;Успешно;0;53
ПроверкаСостоянияПечати;01.10.2023 17:22;Банкомат82;Пользователь88;Проверка состояния печати в Банкомат82;Принтер работает;0;50
СигнализацияОшибки;01.10.2023 17:27;Банкомат65;Пользователь25;Сигнализация ошибки в Банкомат65;Ошибка механизма;0;76
ОбновлениеБезопасности;01.10.2023 17:29;Банкомат6;Пользователь42;Обновление систем безопасности в Банкомат6;Успешно;1;50
ОшибкаТехническая;01.10.2023 17:34;Банкомат99;Пользователь59;Техническая ошибка в Банкомат99;Ошибка связи;0;100
ПроверкаСостоянияКлавиатуры;01.10.2023 17:35;Банкомат15;Пользователь43;Проверка состояния клавиатуры в Банкомат15;Клавиатура работает;0;92
ОшибкаСинхронизацииДанных;01.10.2023 17:39;Банкомат61;Пользователь39;Ошибка синхронизации данных в Банкомат61;Проблема с сетью;1;96
ПроверкаСостоянияПечати;01.10.2023 17:42;Банкомат20;Пользователь5;Проверка состояния печати в Банкомат20;Принтер не работает;1;52
Предупреждение;01.10.2023 17:43;Банкомат70;Пользователь87;Предупреждение в Банкомат70;Низкий уровень наличных;1;70
СостояниеУстройстваИзменено;01.10.2023 17:47;Банкомат39;Пользователь16;Состояние устройства Банкомат39 изменилось;Закрыто;0;65
ВходПользователя;01.10.2023 17:51;Банкомат1;Пользователь83;Пользователь Пользователь83 вошел в систему в Банкомат1;;0;62
ОшибкаСети;01.10.2023 17:52;Банкомат31;Пользователь21;Ошибка сети в Банкомат31;Потеря пакетов;0;99
ТестированиеСистемы;01.10.2023 17:55;Банкомат58;Пользователь59;Тестирование системы в Банкомат58;Все системы работают;0;68
ОшибкаЖесткогоДиска;01.10.2023 17:56;Банкомат99;Пользователь4;Ошибка жесткого диска в Банкомат99;Ошибка чтения;0;92
СостояниеУстройстваИзменено;01.10.2023 17:58;Банкомат77;Пользователь63;Состояние устройства Банкомат77 изменилось;Открыто;1;87
ОтказВОбслуживании;01.10.2023 18:00;Банкомат9;Пользователь36;Отказ в обслуживании в Банкомат9;Техническая ошибка;1;78
ПерезагрузкаУстройства;01.10.2023 18:04;Банкомат57;Пользователь44;Устройство Банкомат57 перезагружено;;1;73
ОшибкаПриемаКупюр;01.10.2023 18:06;Банкомат1;Пользователь17;Ошибка приема купюр в Банкомат1;Купюра повреждена;1;82
СостояниеУстройстваИзменено;01.10.2023 18:07;Банкомат38;Пользователь37;Состояние устройства Банкомат38 изменилось;Открыто;0;52
ЗагрузкаПроцессораВысокая;01.10.2023 18:09;Банкомат77;Пользователь35;Высокая загрузка процессора в Банкомат77;95;1;86
АварийноеВыключение;01.10.2023 18:12;Банкомат91;Пользователь38;Аварийное отключение устройства Банкомат91;Устройство отключено;1;52
ПроверкаЖесткогоДиска;01.10.2023 18:15;Банкомат43;Пользователь74;Проверка жесткого диска в Банкомат43;97;1;78
ЗагрузкаПроцессораВысокая;01.10.2023 18:16;Банкомат20;Пользователь95;Высокая загрузка процессора в Банкомат20;100;0;92
ОбработкаЗапроса;01.10.2023 18:18;Банкомат28;Пользователь34;Обработка запроса пользователя Пользователь34 в Банкомат28;;1;98
СостояниеУстройстваИзменено;01.10.2023 18:18;Банкомат100;Пользователь47;Состояние устройства Банкомат100 изменилось;Открыто;0;88
ПроверкаОбновлений;01.10.2023 18:22;Банкомат79;Пользователь88;Проверка обновлений в Банкомат79;Обновления доступны;0;66
ЗаменаКассеты;01.10.2023 18:24;Банкомат79;Пользователь36;Кассета заменена в Банкомат79;1832;1;94
ПроверкаОбновлений;01.10.2023 18:25;Банкомат87;Пользователь37;Проверка обновлений в Банкомат87;Обновления отсутствуют;0;80
СбросНастроек;01.10.2023 18:28;Банкомат13;Пользователь76;Сброс настроек в Банкомат13;Настройки сброшены;1;87
ОшибкаЖесткогоДиска;01.10.2023 18:32;Банкомат90;Пользователь24;Ошибка жесткого диска в Банкомат90;Ошибка чтения;0;93
ТестированиеУстройства;01.10.2023 18:33;Банкомат19;Пользователь81;Тестирование устройства Банкомат19 завершено;Успешно;1;73
СостояниеУстройстваИзменено;01.10.2023 18:34;Банкомат95;Пользователь99;Состояние устройства Банкомат95 изменилось;Закрыто;0;91
ОшибкаТехническая;01.10.2023 18:37;Банкомат13;Пользователь27;Техническая ошибка в Банкомат13;Ошибка питания;1;70
ПроверкаЖесткогоДиска;01.10.2023 18:39;Банкомат10;Пользователь48;Проверка жесткого диска в Банкомат10;78;0;88
ТестированиеСистемы;01.10.2023 18:41;Банкомат91;Пользователь63;Тестирование системы в Банкомат91;Некоторые системы не работают;0;51
