EventType,Timestamp,DeviceID,User  ID,Details,Value,predicted_has_error,datetime,Date,fl_work,work_time_per
СостояниеУстройстваИзменено,2023-10-01 10:54:00,Банкомат4,Пользователь47,Состояние устройства Банкомат4 изменилось,Закрыто,False,2023-10-01 10:54:00,2023-10-01,1,50
ОбновлениеБезопасности,2023-10-01 10:55:52,Банкомат76,Пользователь75,Обновление систем безопасности в Банкомат76,Успешно,False,2023-10-01 10:55:52,2023-10-01,1,64
ПроверкаКассеты,2023-10-01 11:05:37,Банкомат43,Пользователь30,Проверка состояния кассеты в Банкомат43,Хорошее,False,2023-10-01 11:05:37,2023-10-01,0,88
ОшибкаВыдачиНаличности,2023-10-01 11:15:27,Банкомат44,Пользователь87,Ошибка выдачи наличности в Банкомат44,Купюры отсутствуют,False,2023-10-01 11:15:27,2023-10-01,1,57
ОшибкаТехническая,2023-10-01 11:24:18,Банкомат61,Пользователь35,Техническая ошибка в Банкомат61,Ошибка питания,True,2023-10-01 11:24:18,2023-10-01,1,92
ПроверкаСостоянияСвязи,2023-10-01 11:29:28,Банкомат72,Пользователь98,Проверка состояния связи в Банкомат72,Хорошее,False,2023-10-01 11:29:28,2023-10-01,0,97
СостояниеКартриджа,2023-10-01 11:29:47,Банкомат30,Пользователь46,Состояние картриджа проверено в Банкомат30,Полный,False,2023-10-01 11:29:47,2023-10-01,1,84
СостояниеПриемаКупюр,2023-10-01 11:35:07,Банкомат57,Пользователь91,Состояние устройства приема купюр в Банкомат57 проверено,Работает,False,2023-10-01 11:35:07,2023-10-01,0,65
ОшибкаЖесткогоДиска,2023-10-01 11:39:38,Банкомат35,Пользователь69,Ошибка жесткого диска в Банкомат35,Ошибка чтения,True,2023-10-01 11:39:38,2023-10-01,1,60
ЗавершениеТранзакции,2023-10-01 11:40:44,Банкомат66,Пользователь83,Транзакция завершена в Банкомат66,Не удалось,True,2023-10-01 11:40:44,2023-10-01,0,61
ПроверкаКассеты,2023-10-01 11:45:12,Банкомат14,Пользователь8,Проверка состояния кассеты в Банкомат14,Хорошее,False,2023-10-01 11:45:12,2023-10-01,1,71
ОтказВОбслуживании,2023-10-01 11:49:21,Банкомат79,Пользователь40,Отказ в обслуживании в Банкомат79,Техническая ошибка,True,2023-10-01 11:49:21,2023-10-01,0,68
ПроверкаСостоянияСвязи,2023-10-01 11:53:04,Банкомат7,Пользователь19,Проверка состояния связи в Банкомат7,Плохое,True,2023-10-01 11:53:04,2023-10-01,1,64
УстановкаОбновлений,2023-10-01 11:56:41,Банкомат20,Пользователь63,Установка обновлений в Банкомат20,Успешно,False,2023-10-01 11:56:41,2023-10-01,1,63
ПроверкаСостоянияКарт,2023-10-01 11:58:59,Банкомат77,Пользователь71,Проверка состояния карт в Банкомат77,Некоторые карты повреждены,False,2023-10-01 11:58:59,2023-10-01,0,89
ПроверкаОбновлений,2023-10-01 12:00:24,Банкомат79,Пользователь41,Проверка обновлений в Банкомат79,Обновления отсутствуют,False,2023-10-01 12:00:24,2023-10-01,0,88
СигнализацияОшибки,2023-10-01 12:13:06,Банкомат95,Пользователь23,Сигнализация ошибки в Банкомат95,Ошибка механизма,True,2023-10-01 12:13:06,2023-10-01,1,56
СостояниеКартриджа,2023-10-01 12:18:05,Банкомат97,Пользователь5,Состояние картриджа проверено в Банкомат97,Пустой,False,2023-10-01 12:18:05,2023-10-01,1,80
ОшибкаТехническая,2023-10-01 12:18:35,Банкомат54,Пользователь81,Техническая ошибка в Банкомат54,Ошибка питания,True,2023-10-01 12:18:35,2023-10-01,1,92
АварийноеВыключение,2023-10-01 12:19:52,Банкомат4,Пользователь59,Аварийное отключение устройства Банкомат4,Устройство отключено,True,2023-10-01 12:19:52,2023-10-01,1,89
ПроверкаСистемныхЛогов,2023-10-01 12:24:23,Банкомат64,Пользователь88,Проверка системных логов в Банкомат64,Найдены ошибки,True,2023-10-01 12:24:23,2023-10-01,0,77
ОшибкаОбновления,2023-10-01 12:24:40,Банкомат55,Пользователь83,Ошибка обновления в Банкомат55,Ошибка совместимости,True,2023-10-01 12:24:40,2023-10-01,0,76
ОшибкаЖесткогоДиска,2023-10-01 12:27:58,Банкомат26,Пользователь82,Ошибка жесткого диска в Банкомат26,Нет свободного места,True,2023-10-01 12:27:58,2023-10-01,0,88
ОшибкаТехническая,2023-10-01 12:29:09,Банкомат56,Пользователь37,Техническая ошибка в Банкомат56,Ошибка питания,True,2023-10-01 12:29:09,2023-10-01,1,66
ОшибкаПечати,2023-10-01 12:30:20,Банкомат40,Пользователь23,Ошибка печати в Банкомат40,Нет бумаги,True,2023-10-01 12:30:20,2023-10-01,1,70
ОшибкаОбновления,2023-10-01 12:32:01,Банкомат46,Пользователь51,Ошибка обновления в Банкомат46,Ошибка совместимости,True,2023-10-01 12:32:01,2023-10-01,0,83
ОшибкаТехническая,2023-10-01 12:36:35,Банкомат82,Пользователь74,Техническая ошибка в Банкомат82,Ошибка связи,True,2023-10-01 12:36:35,2023-10-01,0,72
ОбслуживаниеТребуется,2023-10-01 12:41:29,Банкомат61,Пользователь75,Требуется обслуживание Банкомат61,Профилактическое,False,2023-10-01 12:41:29,2023-10-01,1,78
ОшибкаСинхронизацииДанных,2023-10-01 12:49:57,Банкомат73,Пользователь85,Ошибка синхронизации данных в Банкомат73,Проблема с сетью,True,2023-10-01 12:49:57,2023-10-01,0,82
ОшибкаОбновления,2023-10-01 12:53:16,Банкомат98,Пользователь61,Ошибка обновления в Банкомат98,Ошибка совместимости,True,2023-10-01 12:53:16,2023-10-01,0,73
ТестированиеУстройства,2023-10-01 12:53:18,Банкомат80,Пользователь15,Тестирование устройства Банкомат80 завершено,Успешно,False,2023-10-01 12:53:18,2023-10-01,0,72
ТестированиеСистемы,2023-10-01 12:54:29,Банкомат31,Пользователь18,Тестирование системы в Банкомат31,Все системы работают,False,2023-10-01 12:54:29,2023-10-01,1,55
СостояниеКартриджа,2023-10-01 12:57:39,Банкомат13,Пользователь44,Состояние картриджа проверено в Банкомат13,Пустой,False,2023-10-01 12:57:39,2023-10-01,0,66
ПроверкаСостоянияПечати,2023-10-01 13:00:19,Банкомат74,Пользователь60,Проверка состояния печати в Банкомат74,Принтер не работает,True,2023-10-01 13:00:19,2023-10-01,1,90
ПроверкаСостоянияКлавиатуры,2023-10-01 13:05:02,Банкомат31,Пользователь6,Проверка состояния клавиатуры в Банкомат31,Клавиатура работает,False,2023-10-01 13:05:02,2023-10-01,1,90
ЗавершениеТранзакции,2023-10-01 13:07:08,Банкомат85,Пользователь62,Транзакция завершена в Банкомат85,Не удалось,True,2023-10-01 13:07:08,2023-10-01,1,75
ОшибкаОбновления,2023-10-01 13:14:23,Банкомат16,Пользователь32,Ошибка обновления в Банкомат16,Ошибка совместимости,True,2023-10-01 13:14:23,2023-10-01,1,91
ОшибкаСети,2023-10-01 13:30:56,Банкомат30,Пользователь83,Ошибка сети в Банкомат30,Потеря пакетов,False,2023-10-01 13:30:56,2023-10-01,1,58
ЗаменаКартриджа,2023-10-01 13:33:57,Банкомат54,Пользователь11,Замена картриджа в Банкомат54,Успешно,False,2023-10-01 13:33:57,2023-10-01,1,92
ТестированиеСистемы,2023-10-01 13:34:37,Банкомат82,Пользователь83,Тестирование системы в Банкомат82,Все системы работают,False,2023-10-01 13:34:37,2023-10-01,0,75
ОтказВОбслуживании,2023-10-01 13:37:44,Банкомат17,Пользователь87,Отказ в обслуживании в Банкомат17,Техническая ошибка,True,2023-10-01 13:37:44,2023-10-01,0,84
ОшибкаСети,2023-10-01 13:42:30,Банкомат87,Пользователь63,Ошибка сети в Банкомат87,Потеря пакетов,False,2023-10-01 13:42:30,2023-10-01,1,94
ОбслуживаниеТребуется,2023-10-01 13:44:11,Банкомат65,Пользователь22,Требуется обслуживание Банкомат65,Техническое,False,2023-10-01 13:44:11,2023-10-01,1,64
ОшибкаПечати,2023-10-01 13:44:27,Банкомат1,Пользователь90,Ошибка печати в Банкомат1,Ошибка механизма,True,2023-10-01 13:44:27,2023-10-01,1,66
СостояниеУстройстваИзменено,2023-10-01 13:48:23,Банкомат52,Пользователь56,Состояние устройства Банкомат52 изменилось,Закрыто,False,2023-10-01 13:48:23,2023-10-01,1,78
ПроверкаСостоянияКлавиатуры,2023-10-01 13:49:26,Банкомат33,Пользователь96,Проверка состояния клавиатуры в Банкомат33,Клавиатура работает,False,2023-10-01 13:49:26,2023-10-01,0,93
ПроблемаСоСвязью,2023-10-01 13:53:44,Банкомат32,Пользователь60,Проблема со связью в Банкомат32,Потеря соединения,False,2023-10-01 13:53:44,2023-10-01,0,76
ОшибкаСети,2023-10-01 13:55:20,Банкомат62,Пользователь62,Ошибка сети в Банкомат62,Потеря пакетов,False,2023-10-01 13:55:20,2023-10-01,1,85
ПроверкаСистемныхЛогов,2023-10-01 13:56:07,Банкомат40,Пользователь55,Проверка системных логов в Банкомат40,Найдены ошибки,True,2023-10-01 13:56:07,2023-10-01,1,98
ОшибкаТехническая,2023-10-01 14:01:03,Банкомат24,Пользователь94,Техническая ошибка в Банкомат24,Ошибка связи,True,2023-10-01 14:01:03,2023-10-01,0,97
ОшибкаОбновления,2023-10-01 14:04:43,Банкомат22,Пользователь35,Ошибка обновления в Банкомат22,Ошибка совместимости,True,2023-10-01 14:04:43,2023-10-01,0,99
ОшибкаОбновления,2023-10-01 14:09:17,Банкомат70,Пользователь90,Ошибка обновления в Банкомат70,Ошибка сети,True,2023-10-01 14:09:17,2023-10-01,0,98
СостояниеКартриджа,2023-10-01 14:15:11,Банкомат63,Пользователь60,Состояние картриджа проверено в Банкомат63,Пустой,False,2023-10-01 14:15:11,2023-10-01,1,85
ЗавершениеТранзакции,2023-10-01 14:17:46,Банкомат30,Пользователь31,Транзакция завершена в Банкомат30,Успешно,False,2023-10-01 14:17:46,2023-10-01,0,82
АварийноеВыключение,2023-10-01 14:17:47,Банкомат16,Пользователь3,Аварийное отключение устройства Банкомат16,Устройство отключено,True,2023-10-01 14:17:47,2023-10-01,0,60
ОшибкаСети,2023-10-01 14:22:17,Банкомат47,Пользователь50,Ошибка сети в Банкомат47,Нет соединения,True,2023-10-01 14:22:17,2023-10-01,1,99
ПроверкаСостоянияПечати,2023-10-01 14:29:07,Банкомат95,Пользователь37,Проверка состояния печати в Банкомат95,Принтер не работает,True,2023-10-01 14:29:07,2023-10-01,0,53
ОбновлениеПрограммногоОбеспечения,2023-10-01 14:30:10,Банкомат34,Пользователь9,Обновление ПО в Банкомат34,Успешно,False,2023-10-01 14:30:10,2023-10-01,0,83
ПроблемаСоСвязью,2023-10-01 14:34:34,Банкомат96,Пользователь83,Проблема со связью в Банкомат96,Потеря соединения,False,2023-10-01 14:34:34,2023-10-01,1,59
ПроверкаКассеты,2023-10-01 14:37:38,Банкомат2,Пользователь29,Проверка состояния кассеты в Банкомат2,Нуждается в замене,False,2023-10-01 14:37:38,2023-10-01,0,73
ОбновлениеБезопасности,2023-10-01 14:39:40,Банкомат1,Пользователь13,Обновление систем безопасности в Банкомат1,Успешно,False,2023-10-01 14:39:40,2023-10-01,0,62
СигнализацияОшибки,2023-10-01 14:40:07,Банкомат77,Пользователь29,Сигнализация ошибки в Банкомат77,Ошибка механизма,True,2023-10-01 14:40:07,2023-10-01,0,76
СостояниеПриемаКупюр,2023-10-01 14:40:47,Банкомат55,Пользователь84,Состояние устройства приема купюр в Банкомат55 проверено,Не работает,True,2023-10-01 14:40:47,2023-10-01,0,67
ПроверкаСистемныхЛогов,2023-10-01 14:41:36,Банкомат79,Пользователь77,Проверка системных логов в Банкомат79,Ошибок не найдено,True,2023-10-01 14:41:36,2023-10-01,1,83
ОбновлениеБезопасности,2023-10-01 14:48:34,Банкомат30,Пользователь16,Обновление систем безопасности в Банкомат30,Не удалось,True,2023-10-01 14:48:34,2023-10-01,1,55
ОбновлениеПрограммногоОбеспечения,2023-10-01 14:49:23,Банкомат8,Пользователь16,Обновление ПО в Банкомат8,Успешно,False,2023-10-01 14:49:23,2023-10-01,0,99
ОшибкаЖесткогоДиска,2023-10-01 14:53:37,Банкомат84,Пользователь49,Ошибка жесткого диска в Банкомат84,Ошибка чтения,True,2023-10-01 14:53:37,2023-10-01,1,51
СостояниеУстройстваИзменено,2023-10-01 14:57:57,Банкомат66,Пользователь58,Состояние устройства Банкомат66 изменилось,Закрыто,False,2023-10-01 14:57:57,2023-10-01,1,85
ОшибкаСети,2023-10-01 15:00:25,Банкомат31,Пользователь7,Ошибка сети в Банкомат31,Нет соединения,True,2023-10-01 15:00:25,2023-10-01,1,91
АварийноеВыключение,2023-10-01 15:03:29,Банкомат82,Пользователь93,Аварийное отключение устройства Банкомат82,Устройство отключено,True,2023-10-01 15:03:29,2023-10-01,1,76
ЗавершениеТранзакции,2023-10-01 15:10:23,Банкомат35,Пользователь97,Транзакция завершена в Банкомат35,Успешно,False,2023-10-01 15:10:23,2023-10-01,0,60
СостояниеКартриджа,2023-10-01 15:13:28,Банкомат45,Пользователь51,Состояние картриджа проверено в Банкомат45,Полный,False,2023-10-01 15:13:28,2023-10-01,1,80
ПроверкаЭнергоснабжения,2023-10-01 15:21:07,Банкомат88,Пользователь10,Проверка состояния энергоснабжения в Банкомат88,Проблемы с энергоснабжением,True,2023-10-01 15:21:07,2023-10-01,1,92
АварийноеВыключение,2023-10-01 15:22:14,Банкомат20,Пользователь32,Аварийное отключение устройства Банкомат20,Устройство отключено,True,2023-10-01 15:22:14,2023-10-01,1,97
СостояниеПриемаКупюр,2023-10-01 15:25:29,Банкомат10,Пользователь15,Состояние устройства приема купюр в Банкомат10 проверено,Работает,False,2023-10-01 15:25:29,2023-10-01,0,51
ПроверкаСостоянияКарт,2023-10-01 15:31:52,Банкомат2,Пользователь81,Проверка состояния карт в Банкомат2,Некоторые карты повреждены,False,2023-10-01 15:31:52,2023-10-01,1,67
ЗавершениеТранзакции,2023-10-01 15:36:08,Банкомат51,Пользователь40,Транзакция завершена в Банкомат51,Успешно,False,2023-10-01 15:36:08,2023-10-01,0,58
ПроверкаСистемныхЛогов,2023-10-01 15:38:25,Банкомат81,Пользователь96,Проверка системных логов в Банкомат81,Ошибок не найдено,True,2023-10-01 15:38:25,2023-10-01,0,83
СостояниеПриемаКупюр,2023-10-01 15:42:31,Банкомат18,Пользователь99,Состояние устройства приема купюр в Банкомат18 проверено,Не работает,True,2023-10-01 15:42:31,2023-10-01,0,76
ОшибкаТехническая,2023-10-01 15:47:04,Банкомат69,Пользователь21,Техническая ошибка в Банкомат69,Ошибка питания,True,2023-10-01 15:47:04,2023-10-01,0,57
СостояниеУстройстваИзменено,2023-10-01 15:53:25,Банкомат80,Пользователь12,Состояние устройства Банкомат80 изменилось,Закрыто,False,2023-10-01 15:53:25,2023-10-01,0,96
ОшибкаОбновления,2023-10-01 16:00:18,Банкомат72,Пользователь54,Ошибка обновления в Банкомат72,Ошибка совместимости,True,2023-10-01 16:00:18,2023-10-01,1,74
СостояниеКартриджа,2023-10-01 16:01:53,Банкомат72,Пользователь87,Состояние картриджа проверено в Банкомат72,Полный,False,2023-10-01 16:01:53,2023-10-01,1,55
УстановкаОбновлений,2023-10-01 16:03:02,Банкомат100,Пользователь26,Установка обновлений в Банкомат100,Не удалось,True,2023-10-01 16:03:02,2023-10-01,0,79
ОтказВОбслуживании,2023-10-01 16:04:03,Банкомат49,Пользователь68,Отказ в обслуживании в Банкомат49,Техническая ошибка,True,2023-10-01 16:04:03,2023-10-01,1,67
СостояниеПриемаКупюр,2023-10-01 16:08:08,Банкомат11,Пользователь47,Состояние устройства приема купюр в Банкомат11 проверено,Не работает,True,2023-10-01 16:08:08,2023-10-01,0,90
ОшибкаЖесткогоДиска,2023-10-01 16:15:47,Банкомат76,Пользователь69,Ошибка жесткого диска в Банкомат76,Нет свободного места,True,2023-10-01 16:15:47,2023-10-01,0,88
ОшибкаТехническая,2023-10-01 16:18:00,Банкомат40,Пользователь26,Техническая ошибка в Банкомат40,Ошибка питания,True,2023-10-01 16:18:00,2023-10-01,0,86
ОбновлениеБезопасности,2023-10-01 16:21:34,Банкомат44,Пользователь41,Обновление систем безопасности в Банкомат44,Не удалось,True,2023-10-01 16:21:34,2023-10-01,0,73
ПроверкаОбновлений,2023-10-01 16:25:18,Банкомат19,Пользователь16,Проверка обновлений в Банкомат19,Обновления отсутствуют,False,2023-10-01 16:25:18,2023-10-01,0,89
ОшибкаЖесткогоДиска,2023-10-01 16:36:37,Банкомат85,Пользователь41,Ошибка жесткого диска в Банкомат85,Ошибка чтения,True,2023-10-01 16:36:37,2023-10-01,1,63
ОшибкаСинхронизацииДанных,2023-10-01 16:38:49,Банкомат84,Пользователь62,Ошибка синхронизации данных в Банкомат84,Проблема с сетью,True,2023-10-01 16:38:49,2023-10-01,1,94
ПроверкаЭнергоснабжения,2023-10-01 16:45:59,Банкомат95,Пользователь19,Проверка состояния энергоснабжения в Банкомат95,Проблемы с энергоснабжением,True,2023-10-01 16:45:59,2023-10-01,1,51
ПроверкаСостоянияСвязи,2023-10-01 16:47:53,Банкомат66,Пользователь9,Проверка состояния связи в Банкомат66,Плохое,True,2023-10-01 16:47:53,2023-10-01,0,57
ОтказВОбслуживании,2023-10-01 16:52:49,Банкомат83,Пользователь59,Отказ в обслуживании в Банкомат83,Техническая ошибка,True,2023-10-01 16:52:49,2023-10-01,0,85
СостояниеУстройстваИзменено,2023-10-01 16:56:34,Банкомат1,Пользователь6,Состояние устройства Банкомат1 изменилось,Закрыто,False,2023-10-01 16:56:34,2023-10-01,0,74
ПроверкаСостоянияСвязи,2023-10-01 17:00:43,Банкомат65,Пользователь15,Проверка состояния связи в Банкомат65,Плохое,True,2023-10-01 17:00:43,2023-10-01,1,80
ПроблемаСоСвязью,2023-10-01 17:01:44,Банкомат90,Пользователь90,Проблема со связью в Банкомат90,Потеря соединения,False,2023-10-01 17:01:44,2023-10-01,0,58
ОбновлениеБезопасности,2023-10-01 17:03:28,Банкомат96,Пользователь60,Обновление систем безопасности в Банкомат96,Не удалось,True,2023-10-01 17:03:28,2023-10-01,1,66
ТестированиеСистемы,2023-10-01 17:08:27,Банкомат16,Пользователь59,Тестирование системы в Банкомат16,Некоторые системы не работают,True,2023-10-01 17:08:27,2023-10-01,1,53
ПроверкаКассеты,2023-10-01 17:09:10,Банкомат38,Пользователь46,Проверка состояния кассеты в Банкомат38,Хорошее,False,2023-10-01 17:09:10,2023-10-01,0,74
ОбновлениеБезопасности,2023-10-01 17:12:51,Банкомат59,Пользователь6,Обновление систем безопасности в Банкомат59,Успешно,False,2023-10-01 17:12:51,2023-10-01,1,74
УстановкаОбновлений,2023-10-01 17:18:56,Банкомат68,Пользователь81,Установка обновлений в Банкомат68,Успешно,False,2023-10-01 17:18:56,2023-10-01,1,73
ПроверкаСостоянияПечати,2023-10-01 17:22:43,Банкомат82,Пользователь88,Проверка состояния печати в Банкомат82,Принтер работает,False,2023-10-01 17:22:43,2023-10-01,0,84
СигнализацияОшибки,2023-10-01 17:27:06,Банкомат65,Пользователь25,Сигнализация ошибки в Банкомат65,Ошибка механизма,True,2023-10-01 17:27:06,2023-10-01,1,66
ОбновлениеБезопасности,2023-10-01 17:29:27,Банкомат6,Пользователь42,Обновление систем безопасности в Банкомат6,Успешно,False,2023-10-01 17:29:27,2023-10-01,0,86
ОшибкаТехническая,2023-10-01 17:34:26,Банкомат99,Пользователь59,Техническая ошибка в Банкомат99,Ошибка связи,True,2023-10-01 17:34:26,2023-10-01,0,63
ПроверкаСостоянияКлавиатуры,2023-10-01 17:35:48,Банкомат15,Пользователь43,Проверка состояния клавиатуры в Банкомат15,Клавиатура работает,False,2023-10-01 17:35:48,2023-10-01,1,92
ОшибкаСинхронизацииДанных,2023-10-01 17:39:53,Банкомат61,Пользователь39,Ошибка синхронизации данных в Банкомат61,Проблема с сетью,True,2023-10-01 17:39:53,2023-10-01,0,66
ПроверкаСостоянияПечати,2023-10-01 17:42:59,Банкомат20,Пользователь5,Проверка состояния печати в Банкомат20,Принтер не работает,True,2023-10-01 17:42:59,2023-10-01,0,73
СостояниеУстройстваИзменено,2023-10-01 17:47:00,Банкомат39,Пользователь16,Состояние устройства Банкомат39 изменилось,Закрыто,False,2023-10-01 17:47:00,2023-10-01,1,93
ОшибкаСети,2023-10-01 17:52:51,Банкомат31,Пользователь21,Ошибка сети в Банкомат31,Потеря пакетов,False,2023-10-01 17:52:51,2023-10-01,0,71
ТестированиеСистемы,2023-10-01 17:55:00,Банкомат58,Пользователь59,Тестирование системы в Банкомат58,Все системы работают,False,2023-10-01 17:55:00,2023-10-01,0,94
ОшибкаЖесткогоДиска,2023-10-01 17:56:21,Банкомат99,Пользователь4,Ошибка жесткого диска в Банкомат99,Ошибка чтения,True,2023-10-01 17:56:21,2023-10-01,1,52
СостояниеУстройстваИзменено,2023-10-01 17:58:03,Банкомат77,Пользователь63,Состояние устройства Банкомат77 изменилось,Открыто,False,2023-10-01 17:58:03,2023-10-01,1,87
ОтказВОбслуживании,2023-10-01 18:00:34,Банкомат9,Пользователь36,Отказ в обслуживании в Банкомат9,Техническая ошибка,True,2023-10-01 18:00:34,2023-10-01,0,97
СостояниеУстройстваИзменено,2023-10-01 18:07:12,Банкомат38,Пользователь37,Состояние устройства Банкомат38 изменилось,Открыто,False,2023-10-01 18:07:12,2023-10-01,1,67
АварийноеВыключение,2023-10-01 18:12:33,Банкомат91,Пользователь38,Аварийное отключение устройства Банкомат91,Устройство отключено,True,2023-10-01 18:12:33,2023-10-01,0,69
СостояниеУстройстваИзменено,2023-10-01 18:18:19,Банкомат100,Пользователь47,Состояние устройства Банкомат100 изменилось,Открыто,False,2023-10-01 18:18:19,2023-10-01,0,61
ПроверкаОбновлений,2023-10-01 18:22:36,Банкомат79,Пользователь88,Проверка обновлений в Банкомат79,Обновления доступны,False,2023-10-01 18:22:36,2023-10-01,1,90
ПроверкаОбновлений,2023-10-01 18:25:47,Банкомат87,Пользователь37,Проверка обновлений в Банкомат87,Обновления отсутствуют,False,2023-10-01 18:25:47,2023-10-01,1,58
ОшибкаЖесткогоДиска,2023-10-01 18:32:49,Банкомат90,Пользователь24,Ошибка жесткого диска в Банкомат90,Ошибка чтения,True,2023-10-01 18:32:49,2023-10-01,1,94
ТестированиеУстройства,2023-10-01 18:33:57,Банкомат19,Пользователь81,Тестирование устройства Банкомат19 завершено,Успешно,False,2023-10-01 18:33:57,2023-10-01,0,96
СостояниеУстройстваИзменено,2023-10-01 18:34:35,Банкомат95,Пользователь99,Состояние устройства Банкомат95 изменилось,Закрыто,False,2023-10-01 18:34:35,2023-10-01,1,66
ОшибкаТехническая,2023-10-01 18:37:26,Банкомат13,Пользователь27,Техническая ошибка в Банкомат13,Ошибка питания,True,2023-10-01 18:37:26,2023-10-01,0,52
ТестированиеСистемы,2023-10-01 18:41:36,Банкомат91,Пользователь63,Тестирование системы в Банкомат91,Некоторые системы не работают,True,2023-10-01 18:41:36,2023-10-01,0,70
ОбновлениеБезопасности,2023-10-01 18:48:29,Банкомат27,Пользователь84,Обновление систем безопасности в Банкомат27,Успешно,False,2023-10-01 18:48:29,2023-10-01,0,95
ЗавершениеТранзакции,2023-10-01 18:52:44,Банкомат49,Пользователь9,Транзакция завершена в Банкомат49,Не удалось,True,2023-10-01 18:52:44,2023-10-01,1,85
ПроверкаЭнергоснабжения,2023-10-01 18:57:07,Банкомат90,Пользователь10,Проверка состояния энергоснабжения в Банкомат90,Энергоснабжение в порядке,False,2023-10-01 18:57:07,2023-10-01,1,61
ОшибкаВыдачиНаличности,2023-10-01 19:07:09,Банкомат9,Пользователь56,Ошибка выдачи наличности в Банкомат9,Купюры отсутствуют,False,2023-10-01 19:07:09,2023-10-01,1,54
ОшибкаОбновления,2023-10-01 19:11:08,Банкомат17,Пользователь4,Ошибка обновления в Банкомат17,Ошибка совместимости,True,2023-10-01 19:11:08,2023-10-01,1,71
ОшибкаСети,2023-10-01 19:19:17,Банкомат11,Пользователь31,Ошибка сети в Банкомат11,Потеря пакетов,False,2023-10-01 19:19:17,2023-10-01,0,76
ПроверкаКассеты,2023-10-01 19:21:31,Банкомат4,Пользователь4,Проверка состояния кассеты в Банкомат4,Хорошее,False,2023-10-01 19:21:31,2023-10-01,0,65
ОшибкаВыдачиНаличности,2023-10-01 19:25:20,Банкомат78,Пользователь49,Ошибка выдачи наличности в Банкомат78,Ошибка механизма,True,2023-10-01 19:25:20,2023-10-01,1,99
ОшибкаЖесткогоДиска,2023-10-01 19:29:13,Банкомат89,Пользователь71,Ошибка жесткого диска в Банкомат89,Нет свободного места,True,2023-10-01 19:29:13,2023-10-01,0,51
ПроверкаЭнергоснабжения,2023-10-01 19:33:23,Банкомат22,Пользователь14,Проверка состояния энергоснабжения в Банкомат22,Проблемы с энергоснабжением,True,2023-10-01 19:33:23,2023-10-01,1,73
СостояниеКартриджа,2023-10-01 19:34:46,Банкомат54,Пользователь78,Состояние картриджа проверено в Банкомат54,Полный,False,2023-10-01 19:34:46,2023-10-01,1,89
СигнализацияОшибки,2023-10-01 19:37:35,Банкомат30,Пользователь90,Сигнализация ошибки в Банкомат30,Ошибка механизма,True,2023-10-01 19:37:35,2023-10-01,1,76
ОшибкаОбновления,2023-10-01 19:39:05,Банкомат11,Пользователь6,Ошибка обновления в Банкомат11,Ошибка совместимости,True,2023-10-01 19:39:05,2023-10-01,1,87
